1;1751;1000
2;1819;2000
3;660;4000
4;304;8000
5;3224;16000
6;2871;32000
7;3378;64000
8;3699;128000
1;1602;1000
2;1891;2000
3;1929;4000
4;2454;8000
5;2460;16000
6;1122;32000
7;3001;64000
8;1079;128000
1;1627;1000
2;2003;2000
3;1972;4000
4;2252;8000
5;2597;16000
6;2735;32000
7;3280;64000
8;3953;128000
1;325;1000
2;720;2000
3;2868;4000
4;1048;8000
5;2477;16000
6;2712;32000
7;3029;64000
1;1765;2000
1;624;1000
2;1634;2000
3;986;4000
4;2319;8000
5;2394;16000
6;2712;32000
